alias,Visualization,Statistic,Mathematics,Programming,ComputerGraphic,HCI,Evaluation,Communication,Average
ramranch,3,2,3,5,5,6,4,1,3.63
Caterpillar,3,2,2,4,3,4,3,6,3.38
tjsol,5,3,3,7,2,3,6,4,4.13
Rookie9,5,5,6,5,4,5,5,5,5.00
matcha,3,3,6,3,2,3,3,8,3.88
Flower,3,3,3,5,1,3,10,10,4.75
kapybara,4,3,7,7,4,6,6,9,5.75
Bebocchia ,8,6,8,5,7,5,5,9,6.63
stellarise,6,6,4,8,8,7,5,8,6.50
Kakka,1,3,5,8,3,5,4,9,4.75
Beowulf,6,3,3,8,7,9,6,9,6.38
BirdMaster,4,6,6,6,3,7,7,7,5.75
SargeSmoke,7,5,5,6,1,3,3,7,4.63
Weissach,3,3,6,4,1,1,1,8,3.38
Croco,6,6,6,2,8,2,2,7,4.88
w,6,6,5,6,2,3,3,6,4.63
kattmat,4,3,3,5,1,8,8,8,5.00
tofu,3,2,5,7,4,7,8,9,5.63
gallopinto,3,5,5,5,4,7,4,10,5.38
numpy,5,9,6,7,1,1,2,7,4.75
Kanelbulle,3,5,9,3,2,4,2,8,4.50
sackboy,1,1,6,3,3,2,1,8,3.13
blackcat,6,5,5,3,4,1,1,7,4.00
Shadowheart,2,1,3,5,1,5,5,9,3.88
tpain,3,5,4,6,6,5,2,6,4.63
ghostcat,6,5,5,8,5,10,5,6,6.25
cyan,1,8,5,4,4,4,3,10,4.88
BlenderBender,6,2,3,8,3,8,5,9,5.50
Windy65,2,8,7,4,3,5,6,8,5.38
Bond,3,3,6,5,7,3,2,6,4.38
MGH552200,7,5,6,8,6,8,4,7,6.38
John Wick,3,3,4,5,4,3,3,4,3.63
YellowShyGuy,3,7,6,8,4,7,4,8,5.88
SamVimes,3,3,4,3,1,3,2,3,2.75
Frieren,7,6,5,7,5,5,6,6,5.88
DiscoTechLola,2,2,3,3,2,4,4,10,3.75
Aaron,6,6,7,6,6,7,7,6,6.38
GGer,3,9,5,6,2,5,5,6,5.13
Reisen,3,5,5,5,6,3,2,4,4.13
DrPavel,4,4,7,6,5,3,5,8,5.25
SannyKuro,5,5,6,8,9,8,7,9,7.13
Mintchoco,5,6,7,7,3,3,7,8,5.75